week_number,open_next,close_next,diff_next,indicator
510,64345.28,63705.66,-639.6199999999953,0
511,63705.66,64060.84,355.179999999993,1
512,64060.84,68676.33,4615.490000000005,1
513,68676.33,67864.43,-811.9000000000087,0
514,67864.43,69067.73,1203.300000000003,1
515,69067.73,80964.44,11896.710000000006,1
516,80964.44,92067.52,11103.080000000002,1
517,92067.52,98196.35,6128.830000000002,1
518,98196.35,96338.36,-1857.9900000000052,0
519,96338.36,99111.53,2773.1699999999983,1
520,99111.53,105120.99,6009.460000000006,1
521,105120.99,94744.43,-10376.560000000012,0
522,94744.43,93695.57,-1048.859999999986,0
523,93695.57,99483.51,5787.939999999988,1
524,99483.51,93573.63,-5909.87999999999,0
525,93573.63,107304.25,13730.619999999995,1
526,107304.25,98900.7,-8403.550000000003,0
527,98900.7,93987.29,-4913.4100000000035,0
528,93987.29,97173.89,3186.600000000006,1
529,97173.89,96394.16,-779.7299999999959,0
530,96394.16,95878.88,-515.2799999999988,0
531,95878.88,91614.84,-4264.040000000008,0
532,91614.84,82335.65,-9279.190000000002,0
533,82335.65,83207.13,871.4800000000105,1
534,83207.13,87122.43,3915.2999999999884,1
535,87122.43,82042.99,-5079.439999999988,0
536,82042.99,74721.88,-7321.110000000001,0
537,74721.88,84604.81,9882.929999999993,1
538,84604.81,87512.44,2907.6300000000047,1
539,87512.44,94628.34,7115.899999999994,1
540,94628.34,94835.45,207.11000000000058,1
541,94835.45,104389.81,9554.36,1
542,104389.81,102240.61,-2149.199999999997,0
543,102240.61,109980.87,7740.259999999995,1
544,109980.87,104903.68,-5077.190000000002,0
545,105218.35,105443.2,224.84999999999127,1
546,105739.11,106604.9,865.7899999999936,1
547,106624.08,101845.77,-4778.309999999998,0
548,101990.44,108287.41,6296.970000000001,1
549,107608.27,109105.99,1497.7200000000012,1
550,108795.11,122434.16,13639.050000000003,1
551,122143.07,118469.26,-3673.810000000012,0
552,119198.24,119564.69,366.4499999999971,1
553,119487.51,114427.23,-5060.279999999999,0
554,114451.27,122076.73,7625.459999999992,1
555,122288.75,115778.7,-6510.050000000003,0
556,115326.05,112354.63,-2971.4199999999983,0
557,111917.08,107894.06,-4023.020000000004,0
558,108083.97,111042.27,2958.300000000003,1
559,111124.25,116581.2,5456.949999999997,1
560,116175.38,113551.56,-2623.820000000007,0
561,112910.45,111837.72,-1072.729999999996,0
562,111706.41,123655.69,11949.279999999999,1
563,123986.49,110433.79,-13552.700000000012,0
